Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Arab World,ARB,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E+12,1.39E+12,1.49E+12,1.60E+12,1.68E+12,1.79E+12,1.90E+12,2.00E+12,2.01E+12,2.09E+12,2.22E+12,2.33E+12,2.39E+12,2.49E+12,2.60E+12,2.66E+12,
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79283047,,10.91045523,,13.18470478,,,,,,,,,
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59163824377,60483065987,57521238262,58608676526,56621959028,57232001325,59233960004,58927902118,60651641988,,
Caribbean small states,CSS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01912022,14.13549042,16.3537693,12.75156975,12.79800034,16.22277975,14.45341492,14.43332529,13.35349512,8.039950371,9.709819794,13.61189032,15.20739985,15.88118505,13.34909487,11.73301983,14.26937008,,17.17304993,19.11938095,17.55283928,16.10293961,18.58193016,18.80925941,20.57386017,21.79748917,20.05147934,,
Caribbean small states,CSS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05E+12,1.11E+12,1.17E+12,1.23E+12,1.29E+12,1.25E+12,1.27E+12,1.30E+12,1.32E+12,1.34E+12,1.37E+12,1.42E+12,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72865009,,11.27880955,10.1390152,10.32361031,11.15789461,10.92234993,11.67253017,11.00590038,12.07252026,12.35283995,11.2919302,11.97769976,11.10286999,11.11258984,11.05587006,11.30628014,10.7174201,10.90495491,,,
Central Europe and the Baltics,CEB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,2.91E+12,2.99E+12,3.04E+12,3.13E+12,3.15E+12,3.20E+12,3.25E+12,3.30E+12,3.33E+12,3.45E+12,3.53E+12,3.58E+12,3.78E+12,3.95E+12,4.13E+12,4.28E+12,4.39E+12,4.50E+12,4.74E+12,5.00E+12,5.20E+12,5.29E+12,5.52E+12,5.57E+12,5.64E+12,5.91E+12,6.32E+12,6.75E+12,7.19E+12,7.70E+12,7.96E+12,7.98E+12,8.48E+12,8.96E+12,9.30E+12,9.70E+12,1.01E+13,1.06E+13,1.11E+13,
